[ERROR] This should not be reached. | File: /home/fauza/web/astracore/index.php | Line: 110 | Code: 
[ERROR] This should not be reached. | File: /home/fauza/web/astracore/index.php | Line: 110 | Code: 
[ERROR] Class "log_Oscar" not found | File: /home/fauza/web/astracore/pages/signup.php | Line: 47 | Code: 
[ERROR] SQLSTATE[42S22]: Column not found: 1054 Unknown column 'local_machine_token' in 'where clause' | File: /home/fauza/web/astracore/class/UserService.php | Line: 187 | Code: 42S22
[ERROR] Call to a member function getDevices() on null | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to a member function getDevices() on null | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to a member function getDevices() on null | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'Astracore.users' doesn't exist | File: /home/fauza/web/astracore/class/UserService.php | Line: 133 | Code: 42S02
[ERROR] Call to a member function getDevices() on null | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to a member function getDevices() on null | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to a member function getDevices() on null | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to undefined method User::getId() | File: /home/fauza/web/astracore/pages/login.php | Line: 29 | Code: 
[ERROR] Call to undefined method User::getDevices() | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to undefined method User::getUsername() | File: /home/fauza/web/astracore/pages/dashboard/settings.php | Line: 146 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 47 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 47 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 47 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 47 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 47 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 47 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] count(): Argument #1 ($value) must be of type Countable|array, null given | File: /home/fauza/web/astracore/pages/dashboard/devices.php | Line: 44 | Code: 
[ERROR] Call to undefined method ModuleService::getAllModules() | File: /home/fauza/web/astracore/pages/dashboard/modules.php | Line: 42 | Code: 
[ERROR] Call to undefined method ModuleService::getAllModules() | File: /home/fauza/web/astracore/pages/dashboard/modules.php | Line: 42 | Code: 
[ERROR] Module::__construct(): Argument #6 ($lastExecuted) must be of type DateTime, null given, called in /home/fauza/web/astracore/class/ModuleService.php on line 105 | File: /home/fauza/web/astracore/class/Module.php | Line: 15 | Code: 
[ERROR] Module::__construct(): Argument #6 ($lastExecuted) must be of type DateTime, null given, called in /home/fauza/web/astracore/class/ModuleService.php on line 105 | File: /home/fauza/web/astracore/class/Module.php | Line: 15 | Code: 
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
[ERROR] SQLSTATE[HY093]: Invalid parameter number | File: /home/fauza/web/astracore/class/ModuleService.php | Line: 100 | Code: HY093
