[LogInfo] Page generation time: 0.14694499969482 seconds | INFO
[LogInfo] Page generation time: 9.1075897216797E-5 seconds | INFO
[LogInfo] Page generation time: 9.2029571533203E-5 seconds | INFO
[LogInfo] Page generation time: 9.1075897216797E-5 seconds | INFO
[LogInfo] Page generation time: 0.15721583366394 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14734292030334 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13893485069275 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13942098617554 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13662600517273 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13339591026306 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13277411460876 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13494801521301 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14763593673706 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13893914222717 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14027094841003 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.24076890945435 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.33877491950989 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.45093679428101 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.0001528263092041 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.434859991074 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.555120944977 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.671534061432 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.780184984207 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.885856866837 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 7.9870223999023E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.995743989944 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 19.104844808578 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 19.211680173874 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 19.270396947861 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 19.271013975143 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.829912900925 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.967324972153 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 18.101188898087 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.237811088562 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.375910997391 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.509249925613 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 8.7976455688477E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.64991402626 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 16.788089036942 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 16.924899101257 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.065567016602 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.202466011047 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.341068029404 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.477547883987 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.612245082855 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.747230052948 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 16.883115053177 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 11.895823001862 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 10.905813932419 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.34213900566101 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.24332880973816 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14843583106995 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23115491867065 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13790702819824 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22050404548645 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13578796386719 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14942598342896 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.15440583229065 seconds | Page:localhost/astracore/index.php | INFO
